IbLO5tIw,2021.05.12,01:21:04,600+0,Normal,0-1,jacobaharris,1363,-6,HORUHE,1405,+5
GbBj7rFV,2021.05.12,01:32:25,600+0,Normal,0-1,jacobaharris,1357,-6,mrinalkanwar,1367,+6
Q2yWAVXd,2021.05.12,01:53:12,600+0,Normal,1-0,LUKETOMA7,1331,+7,jacobaharris,1351,-6
THHSDb3G,2021.05.12,02:06:37,600+0,Normal,0-1,scott12345sco,1402,-7,jacobaharris,1345,+7
PAsSY8Z0,2021.05.12,02:20:18,600+0,Normal,0-1,jacobaharris,1352,-5,josedriver,1372,+6
LZTR3Amc,2021.05.15,19:42:04,600+0,Normal,0-1,DieoRamma,1373,-7,jacobaharris,1347,+7
dPzsrUwA,2021.05.15,20:00:44,600+0,Normal,0-1,mitrovicdragan58,1344,-6,jacobaharris,1354,+7
5yNYGI8t,2021.05.15,20:19:51,600+0,Normal,0-1,jacobaharris,1361,-5,Yanichar,1432,+5
mmt8wduu,2021.05.15,20:32:42,600+0,Normal,1-0,RogerAttack,1334,+7,jacobaharris,1356,-7
nLzJ5TS9,2021.05.15,20:38:51,600+0,Normal,1-0,jacobaharris,1349,+6,mitrovicdragan58,1330,-6
2c26ArNv,2021.05.15,20:48:47,600+0,Normal,1-0,jacobaharris,1355,+8,rbc24,1437,-7
HfEO2XAN,2021.05.16,04:00:05,600+0,Normal,1-0,jacobaharris,1363,+6,kEeRtHiKha,1371,-6
JkFB4JMu,2021.05.16,04:18:44,600+0,Time forfeit,0-1,j1c12OO5,1430,-7,jacobaharris,1369,+8
7HndneKu,2021.05.16,04:40:13,600+0,Normal,0-1,trueno02,1449,-7,jacobaharris,1377,+7
Usp4xBbL,2021.05.16,04:48:36,600+0,Normal,1-0,jacobaharris,1384,+4,Keno1495,1247,-4
zefFWgqE,2021.05.16,04:52:11,600+0,Normal,1-0,gashyavck,1346,+7,jacobaharris,1388,-7
lcH2t2PQ,2021.05.16,05:12:54,600+0,Time forfeit,1-0,jacobaharris,1381,+7,Anujkumarraj99,1399,-6
92N0srwW,2021.05.16,15:14:24,600+0,Normal,0-1,nourrrrr,1467,-7,jacobaharris,1388,+7
qYdVyCye,2021.05.16,15:20:46,600+0,Normal,1-0,jacobaharris,1395,+6,uncancelthefuture,1385,-5
kdl1lfGu,2021.05.16,15:22:21,600+0,Normal,1-0,jacobaharris,1401,+8,Jpier66,1507,-7
